"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft*)"|"Map**"|"BGN Date"|"Entry Date"|
"Springfield Elementary School"|"39151"|"School"|"Apache"|"AZ"|"340756N"|"1091624W"|"6985"|"Springerville"|""|"27-JUN-1984"
"Teec Nos Pos Boarding School"|"21837"|"School"|"Apache"|"AZ"|"365411N"|"1090629W"|"5344"|"Teec Nos Pos"|""|"27-JUN-1984"
"Tegakwithan Mission"|"12225"|"School"|"Apache"|"AZ"|"351638N"|"1091300W"|"6027"|"Houck"|""|"08-FEB-1980"
"Toyei School"|"12666"|"School"|"Apache"|"AZ"|"354215N"|"1095616W"|"6532"|"Toyei School"|""|"08-FEB-1980"
"Tsaile Public School"|"21853"|"School"|"Apache"|"AZ"|"361805N"|"1091235W"|"7083"|"Tsaile"|""|"27-JUN-1984"
"Tsehootsooi Dine Bi'olta Immersion School"|"2543698"|"School"|"Apache"|"AZ"|"354532N"|"1090313W"|"6834"|"Fort Defiance"|""|"27-APR-2009"
"Tsehootsooi Elementary School"|"2543535"|"School"|"Apache"|"AZ"|"354538N"|"1090312W"|"6837"|"Fort Defiance"|""|"27-APR-2009"
"Tsehootsooi Middle School"|"2543624"|"School"|"Apache"|"AZ"|"354424N"|"1090359W"|"6795"|"Window Rock"|""|"27-APR-2009"
"Tuller Pre School"|"21863"|"School"|"Apache"|"AZ"|"353926N"|"1090546W"|"6814"|"Window Rock"|""|"27-JUN-1984"
"Turquoise Dawn Alternative School"|"2543676"|"School"|"Apache"|"AZ"|"360928N"|"1093453W"|"5499"|"Chinle"|""|"27-APR-2009"
"Valley High School"|"13169"|"School"|"Apache"|"AZ"|"351157N"|"1091848W"|"5889"|"Sanders"|""|"08-FEB-1980"
"Vernon Elementary School"|"2543640"|"School"|"Apache"|"AZ"|"341459N"|"1094140W"|"6945"|"Boundary Butte"|""|"27-APR-2009"
"Wide Ruins Junior High School"|"2543551"|"School"|"Apache"|"AZ"|"352507N"|"1092950W"|"6270"|"Wide Ruins"|""|"27-APR-2009"
"Window Rock Elementary School"|"21900"|"School"|"Apache"|"AZ"|"354102N"|"1090331W"|"6831"|"Window Rock"|""|"27-JUN-1984"
"Window Rock High School"|"21901"|"School"|"Apache"|"AZ"|"354459N"|"1090256W"|"6844"|"Window Rock"|""|"27-JUN-1984"
"A Avenue School"|"21910"|"School"|"Cochise"|"AZ"|"312100N"|"1093241W"|"4016"|"Douglas"|""|"27-JUN-1984"
"Apache Elementary School"|"21914"|"School"|"Cochise"|"AZ"|"314124N"|"1090751W"|"4377"|"Apache"|""|"27-JUN-1984"
"Apache Junior High School"|"21915"|"School"|"Cochise"|"AZ"|"312105N"|"1093146W"|"4062"|"Douglas"|""|"27-JUN-1984"
"Ash Creek School"|"845"|"School"|"Cochise"|"AZ"|"315237N"|"1093812W"|"4373"|"Sulphur Hills"|""|"08-FEB-1980"
"Bella Vista School"|"21930"|"School"|"Cochise"|"AZ"|"313348N"|"1101652W"|"4550"|"Fort Huachuca"|""|"27-JUN-1984"
"Benson Elementary School"|"21934"|"School"|"Cochise"|"AZ"|"315747N"|"1101800W"|"3642"|"Benson"|""|"27-JUN-1984"
"Benson High School"|"21935"|"School"|"Cochise"|"AZ"|"315756N"|"1101800W"|"3619"|"Benson"|""|"27-JUN-1984"
"Benson Junior High School"|"21939"|"School"|"Cochise"|"AZ"|"315750N"|"1101759W"|"3632"|"Benson"|""|"27-JUN-1984"
"Bisbee High School"|"21945"|"School"|"Cochise"|"AZ"|"312453N"|"1095318W"|"5066"|"Bisbee"|""|"27-JUN-1984"
"Bowie Elementary School"|"21959"|"School"|"Cochise"|"AZ"|"321930N"|"1092919W"|"3770"|"Bowie"|""|"27-JUN-1984"
"Bowie High School"|"21960"|"School"|"Cochise"|"AZ"|"321931N"|"1092923W"|"3773"|"Bowie"|""|"27-JUN-1984"
"Buena High School"|"21970"|"School"|"Cochise"|"AZ"|"313320N"|"1101532W"|"4478"|"Fort Huachuca"|""|"27-JUN-1984"
"Buena High School"|"1934396"|"School"|"Cochise"|"AZ"|"313414N"|"1101417W"|"4367"|"Lewis Springs"|""|"27-JUN-1984"
"Buena School"|"2127"|"School"|"Cochise"|"AZ"|"313318N"|"1101525W"|"4478"|"Fort Huachuca"|""|"08-FEB-1980"
"Carmel Community Arts and Technology Charter School"|"2544908"|"School"|"Cochise"|"AZ"|"312448N"|"1095239W"|"4977"|"Bisbee"|""|"20-APR-2009"
